Sample name,V66 GroES,V66 GroES,V66 GroES,V68 GroES,V68 GroES,V68 GroES,452 GroES,452 GroES,452 GroES,V66 RecC short,V66 RecC short,V66 RecC short,V68 RecC short,V68 RecC short,V68 RecC short,452 RecC short,452 RecC short,452 RecC short,V66 RecC long,V66 RecC long,V66 RecC long,V68 RecC long,V68 RecC long,V68 RecC long,452 RecC long,452 RecC long,452 RecC long
23,"315452,679478322","304706,220962197","285773,289902981","267595,149512695","356672,3238012","330593,881922158","243040,808722648","273163,618131497","56075,31054725","251309,630134675","281571,730661425","215029,200506171","213663,862364177","207990,135769336","188425,453438413","263658,756576031","307913,806135368","106150,7265625","298579,623261153","308861,019678449","354736,432154087","212771,430462812","252100,544563817","211171,105666525","371493,391578603","507568,65988661","128131,97851575"
24,"326804,325953579","316164,593007968","297018,006052151","286502,773722869","371420,815090781","343349,954599746","254086,602468","286149,915090518","56075,31054725","261311,01106788","292584,279910091","224294,612076561","236794,987467406","242324,877534267","207423,34242971","272213,642436781","324512,388584413","106150,7265625","310703,795586329","320052,084593384","367705,146348152","255889,337329057","295266,116413731","253526,198188176","387376,251186672","534740,542138774","128131,97851575"
25,"336247,275317219","325746,32815686","306280,857667498","302046,883405927","383568,596380729","353593,001085262","262741,779464559","297049,254004987","56075,31054725","269626,671368165","301391,35735221","231938,49274988","255801,407670613","270379,290083777","220467,999323129","278633,499960608","337979,693019977","106150,7265625","320787,926028649","329294,085338731","378399,552329031","292760,348395467","328976,698349556","287475,552039266","399944,512414629","557077,975045371","128131,97851575"
26,"344206,616679853","333860,165772927","314015,354490199","314940,93100723","393708,5999443","361955,69250816","269656,028634561","306297,748111717","56075,31054725","276628,597747853","308556,591972159","238319,424959139","271237,220381682","292460,805530814","229415,627671556","283586,048393272","349048,234352973","106150,7265625","329286,663945872","337035,56302213","387343,264399973","322730,217331643","355066,104107254","313236,516886808","410074,8084022","575660,437341491","128131,97851575"
27,"350998,154170267","340812,203147306","320557,239303431","325757,686673425","402281,598231214","368890,44110826","275281,823018484","314230,861844648","56075,31054725","282595,907287345","314480,764412032","243710,025595818","283801,528011091","309723,584880505","235711,010607452","287500,763730448","358268,520869858","106150,7265625","336538,307384736","343605,889949425","394921,655878217","346719,86299291","375511,745130218","332598,788305435","418382,70831331","591310,328549277","128131,97851575"
28,"356858,163157647","346833,012357384","326156,101295006","334938,123963169","409615,866680895","374723,034389321","279936,078161599","321105,454186682","56075,31054725","287738,420089926","319450,914703874","248316,022135045","294119,953953973","323331,677384237","240283,989066701","290660,93553543","366049,037248608","106150,7265625","342795,9581378","349248,913987136","401420,231227377","365983,244655904","391844,486278938","347322,31257466","425303,645561618","604646,82880669","128131,97851575"
29,"361965,371671696","352098,029559738","330999,302540662","342817,426085935","415957,996381823","379691,154444839","283843,986124642","327118,966903972","56075,31054725","292215,151992908","323675,420945476","252293,151864871","302692,067593993","334213,992579956","243709,980103997","293258,635160976","372693,459115058","106150,7265625","348250,935569371","354147,379386044","407052,91297108","381625,903370874","405152,467831904","358736,001278283","431150,114879364","616136,769307595","128131,97851575"
30,"366456,677143647","356742,318000188","335229,205721998","349650,505118459","421495,354730019","383970,868503767","287168,38724436","332424,385534683","56075,31054725","296147,936603014","327307,964640396","255760,275479704","309899,961562945","343056,648246436","246348,382155255","295427,60147221","378429,49847381","106150,7265625","353049,636718321","358440,115523896","411982,106296909","394506,591340045","416196,1460558","367768,524179342","436150,209645593","626134,811235415","128131,97851575"
31,"370438,286417959","360871,134507723","338955,378561127","355632,561971522","426372,097809125","387694,656969425","290029,178446514","337141,417266326","56075,31054725","299631,236307812","330463,734788438","258809,059131759","316031,977819605","350354,907270164","248429,40859384","297263,278570935","383429,888225104","106150,7265625","357305,519247873","362234,053060176","416332,782098034","405264,455933303","425510,89915444","375058,030828177","440473,317834267","634913,221569212","128131,97851575"
32,"373993,630396475","364567,496405314","342263,22889253","360914,538994581","430700,537174172","390963,72805983","292516,192578264","341364,713117121","56075,31054725","302739,174415719","333230,430720595","261510,995068361","321305,783386373","356466,123649551","250104,91380857","298835,32015208","387827,314330255","106150,7265625","361107,620324558","365612,658284346","420202,381931077","414370,437654821","433479,800424402","381045,936199327","444247,343824612","642683,428851011","128131,97851575"
33,"377189,030767604","367897,635425454","345220,150915428","365614,43358534","434569,243829177","393856,515971743","294697,849138062","345169,898774856","56075,31054725","305530,594035844","335675,814328157","263922,474804628","325886,831867037","361650,585525959","251478,006506628","300195,590953046","391724,997252096","106150,7265625","364526,653490533","368641,908104882","423667,840685672","422172,966359501","440382,171036279","386042,411208151","447570,38957826","649611,53992884","128131,97851575"
34,"380077,79925065","370914,965593676","347879,94169115","369825,520560052","438048,875557348","396434,622483068","296627,054611588","348618,014100257","56075,31054725","308052,726218747","337852,965068754","266088,468968715","329902,143976778","366100,458484638","252620,608091696","301383,413465285","395204,223620542","106150,7265625","367619,415049054","371374,572023771","426790,62005935","428932,506097837","446425,587555786","390269,54198139","450518,79593956","655829,5425365","128131,97851575"
35,"382703,236915713","373663,000935301","350286,010126613","373622,338425591","441196,411588592","398747,030206891","298345,293415685","351758,803973667","56075,31054725","310343,876202673","339803,990497775","268045,216569848","333450,328154247","369959,739442022","253584,127503341","302429,088435906","398329,753653716","106150,7265625","370432,004445973","373853,319327498","429620,359979311","434846,276996617","451767,121759413","393889,430269383","453152,766017162","661443,452313726","128131,97851575"
36,"385100,854533944","376177,524947188","352473,736000749","377065,075576943","444058,26502914","400833,133151261","299885,511143274","354633,178818539","56075,31054725","312435,411924038","341562,685111698","269822,208759377","336608,814218561","373337,952172089","254406,127972849","303356,308082515","401153,744958","106150,7265625","373002,205380303","376113,002430599","432197,560351668","440065,646343637","456527,634956324","397022,600343132","455520,359849156","666539,293765637","128131,97851575"
37,"387300,03538873","378488,221719373","354472,224588595","380202,812201472","446672,596949422","402724,947090263","301274,179032873","357275,071645898","56075,31054725","314353,252297947","343156,463043564","271443,667069158","339439,085209988","376319,603711494","255114,601778135","304183,843131035","403718,632513909","106150,7265625","375361,266862989","378182,355661947","434555,574789461","444708,351515804","460801,56182451","399760,222443888","457660,375419667","671187,536814027","128131,97851575"
38,"389325,294572405","380619,915630575","356305,626735202","383075,939964827","449071,05648318","404448,743314675","302532,794534183","359712,853165643","56075,31054725","316118,993254746","344607,782247261","272929,656413706","341990,486407668","378970,784702674","255730,780217551","304926,743663034","406059,267166752","106150,7265625","377535,250515056","380085,274241743","436722,110388768","448867,148283049","464663,725596669","402172,366771615","459604,456637735","675446,422978294","128131,97851575"
39,"391197,242960587","382593,523389488","357994,142966609","385717,986445663","451280,103680591","406026,271496831","303678,987498745","361970,420462279","56075,31054725","317750,76869634","345935,207598959","274296,931726141","344303,023359563","381343,836168296","256271,023756302","305597,208143972","408204,521712958","106150,7265625","379546,060798036","381841,788129694","438720,368679005","452615,993161879","468174,167800801","404313,675775881","461378,656755896","679364,485562521","128131,97851575"
40,"392933,332665148","384426,792440457","359554,795293453","388157,004768727","453322,025709847","407475,68592714","304727,346475913","364068,042345086","56075,31054725","319263,915426654","347154,214146207","275559,588415146","346409,437960473","383480,69445305","256748,120638444","306205,221936551","410178,510456981","106150,7265625","381412,240916237","383468,811497267","440569,922887606","456014,515672209","471381,627644078","406227,330483798","463004,612724137","682982,478852888","128131,97851575"
